Date,Department,Ma_nhom_NSP1,NSP1_Name,NSP2_Name,NSP1_Code,NSP2_Code,Deliver_Plan,Plan_Type
2024-10,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,316500000000.0,Quy
2023-10,BH1,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,74856000.0,Thang
2025-01,TMND,L1,1- SP Công nghệ nền,,A001,,4450000000000.0,Quy
2024-10,BH1,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,3000000000.0,Quy
2025-01,PXK,L1,1- SP Công nghệ nền,,A001,,154000000000.0,Quy
2023-10,BH1,L4,4- SP LOCAL,Local,A004,B019,10715000.0,Thang
2024-11,BH1,L4,4- SP LOCAL,Local,A004,B019,1650000000.0,Thang
2024-07,BH2,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,109245902.0,Thang
2025-01,CTY,L2,2- SP Chất lượng cao,,A002,,261000000000.0,Quy
2024-10,BH1,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,5000000000.0,Thang
2024-12,BH1,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,1778000000.0,Thang
2024-08,BH2,L5,5- SP IOT,IoT,A005,B013,533741596.5,Thang
2023-10,TMND,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,164616000.0,Thang
2025-01,CTY,L1,1- SP Công nghệ nền,,A001,,1262000000000.0,Quy
2023-10,PXK,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,20394040000.0,Thang
2024-07,TMND_BH2,,,,,,140000000000.0,Thang
2024-11,TMND_BH1,L6,6- KD DV & Trải nghiệm KH,,A006,,5000000000.0,Thang
2023-10,TMND,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,61106000.0,Thang
2025-02,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,103950000000.0,Thang
2025-02,TMND_BH3,,,,,,220000000000.0,Thang
2024-08,TMND,,,,,,400000000000.0,Thang
2025-01,TMND_BH1,L2,2- SP Chất lượng cao,,A002,,150000000000.0,Quy
2023-10,BH1,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,30201000.0,Thang
2025-01,CTY,,,,,,8360000000000.0,Nam
2025-01,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,311850000000.0,Quy
2023-10,PXK,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,4239568000.0,Thang
2024-08,BH2,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,157640583.8,Thang
2024-01,TMND_BH2,,,,,,2540000000000.0,Nam
2023-10,TMND,L3,3- SP SMART,Sản phẩm nền tảng,A003,B018,451586000.0,Thang
2024-07,BH2,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,22983569.09,Thang
2024-07,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,2222751033.0,Thang
2024-10,PXK,,,,,,200000000000.0,Thang
2023-10,PXK,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,607268000.0,Thang
2023-10,CTY,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,164616000.0,Thang
2024-10,BH1,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,800000000.0,Thang
2024-09,TMND_BH1,,,,,,280000000000.0,Thang
2024-07,BH2,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,76680364572.0,Quy
2024-11,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,22000000000.0,Thang
2025-01,BH1,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,12750000000.0,Quy
2024-11,CTY,L3,3- SP SMART,,A003,,165000000000.0,Thang
2024-09,BH2,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,12136973529.0,Thang
2024-12,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,176022000000.0,Thang
2024-08,BH2,L3,3- SP SMART,Sản phẩm nền tảng,A003,B018,743876279.4,Thang
2024-08,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,117740000000.0,Thang
2025-01,TMND_BH1,L3,3- SP SMART,,A003,,943000000000.0,Quy
2024-07,BH2,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,21769255.77,Thang
2024-08,BH2,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,31412786.42,Thang
2023-10,TMND,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,2287404000.0,Thang
2025-01,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,48000000000.0,Quy
2024-10,TMND_BH1,,,,,,930000000000.0,Quy
2024-07,BH2,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,250862669.6,Quy
2024-08,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,8479646786.0,Thang
2025-02,BH1,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,4500000000.0,Thang
2023-10,PXK,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,2740000.0,Thang
2025-03,BH2,,,,,,117093000000.0,Thang
2024-10,PXK,,,,,,200000000000.0,Quy
2024-10,BH1,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,18000000000.0,Quy
2025-01,BH1,L5,5- SP IOT,IoT,A005,B013,27000000000.0,Quy
2023-10,TMND_BH2,,,,,,369635000000.0,Thang
2023-10,CTY,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,97559063000.0,Thang
2024-10,BH1,L3,3- SP SMART,Sản phẩm nền tảng,A003,B018,1000000000.0,Thang
2024-07,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,154293796.3,Thang
2025-01,BH1,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,3150000000.0,Quy
2025-01,BH2,,,,,,58134000000.0,Thang
2024-07,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,81594540636.0,Thang
2024-08,BH2,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,89357585.63,Thang
2025-01,TMND,,,,,,440000000000.0,Thang
2024-11,TMND,L5,5- SP IOT,,A005,,29000000000.0,Thang
2023-10,BH1,L1,1- SP Công nghệ nền,SP Khác,A001,B003,538923000.0,Thang
2024-10,CTY,,,,,,1990000000000.0,Quy
2025-01,PXK,L2,2- SP Chất lượng cao,,A002,,196000000000.0,Quy
2023-10,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,2287404000.0,Thang
2024-07,BH2,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,2439667040.0,Quy
2025-01,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,107800000000.0,Thang
2024-07,TMND_BH2,,,,,,567000000000.0,Quy
2025-02,BH1,L5,5- SP IOT,IoT,A005,B013,9000000000.0,Thang
2024-08,TMND_BH2,,,,,,202000000000.0,Thang
2024-11,TMND_BH1,L3,3- SP SMART,,A003,,74000000000.0,Thang
2024-07,BH2,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,1232262713.0,Thang
2024-09,BH2,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,30441584492.0,Thang
2025-01,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,18000000000.0,Thang
2024-11,TMND,L6,6- KD DV & Trải nghiệm KH,,A006,,10000000000.0,Thang
2025-02,BH2,,,,,,65109000000.0,Thang
2024-07,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,5876447801.0,Thang
2023-10,CTY,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,4006648000.0,Thang
2024-09,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,2058608460.0,Thang
2024-10,BH2,,,,,,900000000000.0,Quy
2024-07,BH2,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,18928520766.0,Thang
2025-01,TMND,L5,5- SP IOT,,A005,,24000000000.0,Quy
2023-10,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,1238571000.0,Thang
2023-10,CTY,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,1864005000.0,Thang
2024-07,BH2,L1,1- SP Công nghệ nền,"Chao, choá",A001,B012,1000320555.0,Quy
2025-01,BH1,L4,4- SP LOCAL,Local,A004,B019,3000000000.0,Thang
2024-12,BH1,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,8382000000.0,Thang
2023-10,CTY,L4,4- SP LOCAL,Local,A004,B019,10715000.0,Thang
2025-01,TMND_BH2,L3,3- SP SMART,,A003,,828000000000.0,Quy
2024-09,BH2,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,223916304.2,Thang
2024-12,BH1,L4,4- SP LOCAL,Local,A004,B019,2540000000.0,Thang
2023-10,BH1,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,1864005000.0,Thang
2024-10,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,17000000000.0,Quy
2024-07,BH2,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,88188321.18,Quy
2024-09,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,29326135851.0,Thang
2025-01,TMND_BH1,L5,5- SP IOT,,A005,,13000000000.0,Quy
2024-08,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,3207404250.0,Thang
2024-07,BH2,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,73870622245.0,Quy
2024-07,BH2,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,879237772.3,Thang
2024-09,TMND,,,,,,500000000000.0,Thang
2024-12,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,52800000000.0,Thang
2024-12,BH1,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,2540000000.0,Thang
2025-01,TMND_BH2,L5,5- SP IOT,,A005,,11000000000.0,Quy
2024-11,TMND_BH1,L1,1- SP Công nghệ nền,,A001,,197000000000.0,Thang
2023-10,BH1,L5,5- SP IOT,IoT,A005,B013,1082806000.0,Thang
2023-10,CTY,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,61106000.0,Thang
2023-10,BH2,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,2844787000.0,Thang
2024-01,TMND_BH1,,,,,,2890000000000.0,Nam
2024-11,BH1,L5,5- SP IOT,IoT,A005,B013,6600000000.0,Thang
2024-09,PXK,,,,,,100000000000.0,Thang
2024-10,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,325200000000.0,Quy
2023-10,CTY,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,1238571000.0,Thang
2024-09,BH2,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,36963071.18,Thang
2025-01,TMND_BH2,L6,6- KD DV & Trải nghiệm KH,,A006,,23000000000.0,Quy
2024-08,BH2,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,200908364.8,Thang
2025-02,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,23475000000.0,Thang
2024-08,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,1847081485.0,Thang
2025-01,BH1,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,9000000000.0,Quy
2024-12,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,29026000000.0,Thang
2025-01,TMND_BH2,L2,2- SP Chất lượng cao,,A002,,379000000000.0,Quy
2024-07,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,23805777818.0,Quy
2023-10,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,218339000000.0,Thang
2024-11,BH1,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,1650000000.0,Thang
2024-08,BH2,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,869012343.5,Thang
2023-10,CTY,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,62874000.0,Thang
2024-07,BH2,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,3561835273.0,Quy
2023-10,TMND,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,97559063000.0,Thang
2024-10,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,63400000000.0,Quy
2024-08,BH2,L4,4- SP LOCAL,Local,A004,B019,3622489.233,Thang
2024-07,BH2,L5,5- SP IOT,IoT,A005,B013,1498427255.0,Quy
2023-10,BH1,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,4006648000.0,Thang
2023-10,CTY,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,253619000000.0,Thang
2024-10,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,84900000000.0,Thang
2024-09,BH2,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,175693515.5,Thang
2023-10,CTY,L5,5- SP IOT,IoT,A005,B013,1082806000.0,Thang
2023-10,PXK,L1,1- SP Công nghệ nền,SP Khác,A001,B003,1947503000.0,Thang
2025-02,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,16200000000.0,Thang
2024-11,BH1,L3,3- SP SMART,Sản phẩm LED Smart,A003,B006,114800000000.0,Thang
2024-07,BH2,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,7546747626.0,Thang
2024-07,CTY,,,,,,1467000000000.0,Quy
2023-10,BH2,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,36839000.0,Thang
2023-10,PXK,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,404701000.0,Thang
2024-12,BH1,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,5334000000.0,Thang
2024-09,BH2,L1,1- SP Công nghệ nền,Thiết bị điện,A001,B005,3574714803.0,Thang
2023-10,TMND,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,74856000.0,Thang
2023-10,BH1,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,207471000.0,Thang
2024-10,CTY,,,,,,700000000000.0,Thang
2024-10,BH1,L3,3- SP SMART,Sản phẩm nền tảng,A003,B018,3000000000.0,Quy
2024-07,BH2,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,30572244203.0,Quy
2025-01,PXK,,,,,,104000000000.0,Thang
2024-08,PXK,,,,,,100000000000.0,Thang
2023-10,BH2,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,1427538000.0,Thang
2024-11,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,5000000000.0,Thang
2025-01,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,70500000000.0,Quy
2023-10,CTY,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,1749002000.0,Thang
2023-10,PXK,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,738000.0,Thang
2024-07,BH2,L3,3- SP SMART,Sản phẩm nền tảng,A003,B018,2088359796.0,Quy
2024-11,CTY,L5,5- SP IOT,,A005,,33000000000.0,Thang
2023-10,BH1,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,253619000000.0,Thang
2024-11,BH1,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,500000000.0,Thang
2023-10,TMND,,,,,,923000.0,Thang
2023-10,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,62874000.0,Thang
2023-10,BH2,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,13346615000.0,Thang
2024-08,TMND_BH1,,,,,,200000000000.0,Thang
2025-01,BH1,L4,4- SP LOCAL,Local,A004,B019,9000000000.0,Quy
2025-02,BH1,L4,4- SP LOCAL,Local,A004,B019,3000000000.0,Thang
2023-10,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,18668439000.0,Thang
2025-01,BH1,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,23500000000.0,Thang
2024-01,CTY,,,,,,6400000000000.0,Nam
2025-02,BH1,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,3000000000.0,Thang
2023-10,BH2,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,717355000.0,Thang
2024-11,TMND,L1,1- SP Công nghệ nền,,A001,,382000000000.0,Thang
2024-08,BH2,L2,2- SP Chất lượng cao,Đèn LED tiên tiến,A002,B004,27313638393.0,Thang
2024-09,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,248141294.0,Thang
2023-10,BH1,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,61106000.0,Thang
2024-10,BH2,,,,,,216776000000.0,Thang
2025-01,TMND_BH2,,,,,,3400000000000.0,Nam
2024-07,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,1280038922.0,Thang
2024-12,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,12000000000.0,Thang
2024-11,TMND_BH2,L1,1- SP Công nghệ nền,,A001,,185000000000.0,Thang
2023-10,TMND,L1,1- SP Công nghệ nền,SP Khác,A001,B003,538923000.0,Thang
2024-10,BH1,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,4650000000.0,Quy
2024-07,BH2,L2,2- SP Chất lượng cao,Phích thể hiện nhiệt độ,A002,B010,61925360.91,Thang
2024-11,CTY,L6,6- KD DV & Trải nghiệm KH,,A006,,13000000000.0,Thang
2025-01,TMND,L6,6- KD DV & Trải nghiệm KH,,A006,,26000000000.0,Quy
2025-02,CTY,,,,,,740000000000.0,Thang
2023-10,BH1,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,3381187000.0,Thang
2023-10,CTY,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,2287404000.0,Thang
2025-01,TMND_BH1,,,,,,3400000000000.0,Nam
2024-07,BH2,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,4991956597.0,Quy
2024-10,BH1,L1,1- SP Công nghệ nền,Ruột phích,A001,B011,3500000000.0,Thang
2023-10,TMND,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,1749002000.0,Thang
2024-11,BH2,,,,,,255880000000.0,Thang
2025-01,CTY,,,,,,540000000000.0,Thang
2025-01,BH1,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,1050000000.0,Thang
2024-07,BH2,L1,1- SP Công nghệ nền,"Chao, choá",A001,B012,246928773.9,Thang
2024-10,TMND_BH2,,,,,,520000000000.0,Thang
2024-08,BH2,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,33165026.62,Thang
2024-07,BH2,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,442560499.0,Quy
2024-07,CTY,,,,,,410000000000.0,Thang
2024-07,TMND_BH1,,,,,,650000000000.0,Quy
2024-09,BH2,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,9450732282.0,Thang
2024-08,BH2,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,10889870278.0,Thang
2023-10,TMND,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,30201000.0,Thang
2023-10,BH2,L2,2- SP Chất lượng cao,SP LED G20,A002,B016,41746000.0,Thang
2024-07,BH2,L1,1- SP Công nghệ nền,SP Khác,A001,B003,625051724.7,Quy
2024-07,BH2,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,330543000000.0,Quy
2023-10,BH2,L1,1- SP Công nghệ nền,,A001,,2000.0,Thang
2024-12,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,54000000000.0,Thang
2024-07,BH2,L4,4- SP LOCAL,Local,A004,B019,2510407.5,Thang
2024-11,BH1,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,10000000000.0,Thang
2025-01,TMND_BH1,L6,6- KD DV & Trải nghiệm KH,,A006,,3000000000.0,Quy
2024-11,TMND_BH2,L5,5- SP IOT,,A005,,14000000000.0,Thang
2023-10,BH1,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,164616000.0,Thang
2024-11,BH1,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,4000000000.0,Thang
2023-10,TMND,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,4006648000.0,Thang
2023-10,BH1,L1,1- SP Công nghệ nền,Máng đèn,A001,B007,1749002000.0,Thang
2025-02,BH1,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,1050000000.0,Thang
2024-09,BH2,L4,4- SP LOCAL,Local,A004,B019,4037335.139,Thang
2024-10,TMND_BH2,,,,,,860000000000.0,Quy
2023-10,BH2,L2,2- SP Chất lượng cao,Sản phẩm CTDA,A002,B002,11160533000.0,Thang
2024-10,BH1,L4,4- SP LOCAL,Local,A004,B019,4650000000.0,Quy
2025-01,CTY,L5,5- SP IOT,,A005,,6000000000.0,Quy
2024-08,CTY,,,,,,500000000000.0,Thang
2025-02,TMND,,,,,,620000000000.0,Thang
2025-01,TMND_BH2,,,,,,60000000000.0,Thang
2023-10,CTY,L1,1- SP Công nghệ nền,Ballat đèn Huỳnh quang,A001,B014,30201000.0,Thang
2024-10,BH1,L1,1- SP Công nghệ nền,Phích cao cấp,A001,B008,76500000000.0,Quy
2023-10,TMND,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,3381187000.0,Thang
2025-01,PXK,,,,,,1600000000000.0,Nam
2024-07,BH2,L3,3- SP SMART,Thiết bị điện thông minh,A003,B020,564030556.4,Quy
2023-10,TMND,L1,1- SP Công nghệ nền,Sản phẩm LED nền,A001,B001,253619000000.0,Thang
2024-09,BH2,L3,3- SP SMART,Thiết bị điều khiển,A003,B015,968531262.7,Thang
2023-10,CTY,L6,6- KD DV & Trải nghiệm KH,KD DV & Trải nghiệm KH,A006,B017,207471000.0,Thang
2024-11,CTY,L2,2- SP Chất lượng cao,,A002,,88000000000.0,Thang
2024-10,BH1,L4,4- SP LOCAL,Local,A004,B019,1250000000.0,Thang
2025-01,BH1,L1,1- SP Công nghệ nền,Phích phổ thông,A001,B009,16000000000.0,Thang
